ID,cerebellumL,cerebellumR,cerebellum
sub-00223b5a,3958,0,2.0
sub-05c53a88,15668,0,2.0
sub-10f21b45,0,3229,1.0
sub-1c72de90,578,0,3.0
sub-1e9e8d3a,31895,461,2.0
sub-2b0d6db7,914,0,2.0
sub-2c1ae914,2732,12618,3.0
sub-3fcf7bcc,3288,3217,3.0
sub-43adc3a1,221,155,3.0
sub-4561487c,10941,0,2.0
sub-4aef5e8a,840,4023,3.0
sub-4b1dc6a2,627,20632,1.0
sub-4c8a2ae8,41613,920,2.0
sub-5ff60deb,342,11278,3.0
sub-6ce9b5f4,1317,50325,1.0
sub-6ddb64d2,69,0,2.0
sub-71e8fcb4,44156,5,2.0
sub-76a4d70c,2922,18066,3.0
sub-7c8c89c8,788,0,2.0
sub-80a3a66e,26977,748,2.0
sub-837c379f,3176,3282,3.0
sub-934e1f2a,0,36866,1.0
sub-9df0d948,38161,32706,3.0
sub-a183fff7,14392,0,2.0
sub-bc4d3eb9,3856,17817,3.0
sub-d9562a92,327,40411,1.0
sub-e08b676e,1077,15848,3.0
sub-e49bcd6f,0,0,1.0
sub-f638548b,15689,23149,3.0
sub-f9ab2632,105,9221,1.0
sub-feca3468,1048,0,2.0
